timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1504729653617,17,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653670,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653685,36,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653721,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653737,6,RO Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653743,25,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653769,14,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653783,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653798,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653813,14,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653827,17,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653850,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653866,13,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653879,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653894,3,RO Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653897,19,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653916,19,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653935,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653950,18,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653968,25,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729653993,17,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654010,16,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654027,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654042,14,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654056,5,RO Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654061,29,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654090,18,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654108,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654124,16,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654140,16,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654156,18,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654174,13,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654188,16,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654204,15,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654219,5,RO Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654224,17,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654241,14,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654255,18,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
1504729654273,13,RW Request,,,bzm - Concurrency Thread Group 1-1,,true,,0,0,1,1,0,0,0
